dic_term_eng,dic_term_kor,dic_explain
abdominal cavity,복강,복벽으로 둘러쌓여 있는 배안의 공간
acetic acid,아세트산,"분자식 C2H4O2, 분자량 60.05의 저급 지방산이다. CH3COOH의 구조식을 가진 무색액체로 16.7℃에서 녹고, 118.0℃에서 끓는다."
achalasia,이완못함증,식도하부의 조임근이 이완되지 않는 병
acid,산,물에 녹았을 때 이온화하여 수소 이온을 만드는 물질. 신맛이 나고 청색 리트머스 종이를 붉게 변화시키며 염기와의 중화 반응에 의하여 물과 염을 만들고 이온화 열에서 수소보다 앞에 있는 금속과 반응하여 염을 만들면서 수소를 발생시킨다.
allergic disease,알레르기병,"Ⅰ형, Ⅱ형, Ⅲ형 및 Ⅳ형의 알레르기 반응에 의해서 생기는 모든 병"
alopecia,탈모증,정상에서는 그대로 있어야 할 털이 감소하거나 빠지는 상태
asthma,천식,"여러 가지 자극에 대해서 기관지가 과민한 반응으로 생기는 기관지의 가역적인 폐쇄. 즉, 정상인에게서는 반응이 없는 자극에 대해서 기관지의 폐쇄가 생기고 그 자극이 없을 경우에는 기관지의 폐쇄가 소실하는 질환"
balloon dilatation,풍선확장술,풍선을 이용한 압력으로 구조의 내강을 넓히는 심장병 시술법
barium enema,바륨관장,큰창자의 병터를 발견하기 위해서 항문으로 바륨이라는 물질을 집어넣고 촬영하는 X-선 촬영방법
BCG,비씨지,"프랑스의 칼메트와 게랭이 만든 결핵 예방 백신으로, 오랫동안 계대배양하여 독성을 없앤 소의 결핵균에서 독성을 없앤 것으로 사람의 결핵에 대한 예방접종이나 암면역화학요법에 사용되는 백신"
Behcet disease,베체트병,"심한 포도막염, 망막혈관염, 시각신경위축, 구강-성기의 아프타성 궤양, 광범위한 혈관염의 징후와 증상"
calcification,석회화,"조직 내에 칼슘의 침착으로 경화되는 현상으로, 혈액이나 조직액 중의 칼슘이 세포사이에 침착하는 것"
cancer,암,"끝없이 분열을 하여 혈액이나 림프관을 통하여 다른 장기에까지 전파될 수 있는 세포의 덩어리로, 즉 악성 신생물"
candidiasis,칸디다증,곰팡이의 하나인 candida에 위한 감염
cardiomyopathy,심근병증,"고혈압이나 선천성 심질환, 기타 다른 질환의 결과에 의하지 않고 대부분 원인 불명으로 심근의 병변을 주로 하는 질환"
collagen,콜라젠,아교질라고도 불림. 결합조직의 세포의 기질을 구성하는 주요한 섬유성 단백질
deafness,난청,청각이 저하 또는 상실된 상태
decidua,탈락막,"수정란이 착상할 때에 자궁 내막이 변하여 난막의 맨 바깥층을 이루는 막으로, 아이를 낳은 뒤에 그 대부분이 밖으로 나옴"
decubitus ulcer,욕창,압박으로 인해서 국소피부의 혈액순환이 감소되고 그것으로 인해서 피부조직이 파괴되는 것
delirium,섬망,"경도 내지 중등도의 의식혼탁, 그리고 의식상태의 동요가 심하며, 내적 흥분의 표현으로 볼 수 있는 운동성 흥분을 동반한 병적 정신상태"
eclampsia,자간증,임신기간이나 분만전후의 여성에서 일어나는 전신의 경련 발작과 의식 불명을 일이키는 질병
eczema,습진,"급성기에 가려움증을 동반하는 수포(작은 물집), 홍반(피부의 적색 변화), 부종(피부가 붓는 것) 등이 나타나고 만성기에 부종, 수포는 감소되는 반면에 태선화(건조하고 딱딱해진 피부로 인해서 피부에 정상적으로 존재하는 손금 등의 선이 더 뚜렷해지는 것) 등이 형성되는 모든 피부 질환"
edema,부종,조직내에 림프액이나 조직의 삼출물 등의 액체가 저류되어서 과잉 존재하는 상태
embolism,색전증,"맥관 즉 혈관 및 림프관 안에 생긴 유리물, 혹은 바깥쪽에서 맥관 안에 들어온 여러 각지 유리물이, 혈류 또는 림프류를 타고 맥관으로 진행하여 맥관의 내강을 막는 것"
facial muscle,얼굴근육,얼굴의 피부를 움직이고 이에 부착되어 있는 얼굴신경의 공급을 받는 수많은 근육을 포함하는 얼굴표정근이나 모방근
fatigue,피로,"육체적-정신적 노동이 생체에 지나친 부담을 주었을 때 일어나는 것으로, 밤낮의 생활리듬과 관련을 유지하면서 회복되기도 하고 축적되기도 하는 것"
food poisoning,식중독,"유해물질에 오염된 음식물을 먹음으로써 일어나는 일군의 급성질환이며, 주로 발열-구역질-구토-설사-복통 등의 증세가 나타남"
furunculus,종기,"진피와 피하조직의 염증에 의하여 형성되는 통증이 수반되는 경계가 명확한 피부의 결절로, 털집 및 털집 주위에 생기는 급성 화농성 염증"
ganglion,신경절,신경절-해부학에서는 주로 말초신경에서 한 신경세포에서 다른 신경세포로 신경세포를 교환하는 부위
gangrene,괴저,상당히 많은 양의 조직이 죽은 부위
gigantism,거인증,뇌하수체의 성장호르몬을 분비하는 세포에서 종양이 생겼을 경우에 과도한 성장 호르몬의 생성으로 발생되는 병
